pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,circulante,TEDR de descubiertos y lineas de credito,3.4618,pct_anual,2026-01,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,TEDR de descubiertos y lineas de credito,3.4387,pct_anual,2026-02,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,TEDR de descubiertos y lineas de credito,3.4989,pct_anual,2026-03,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,TEDR de descubiertos y lineas de credito,3.5721,pct_anual,2026-04,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,TEDR de descubiertos y lineas de credito,3.6004,pct_anual,2026-05,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,TEDR de descubiertos y lineas de credito,3.7062,pct_anual,2026-06,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,TEDR de descubiertos y lineas de credito,3.7506,pct_anual,2026-07,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.1; sin comisiones. El boletin no publica TAE de este producto, asi que la comision de disponibilidad no es observable ni siquiera en Espana"
Espana,circulante,Saldo de descubiertos y lineas de credito,57753,eur_millones,2026-01,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,volumen,dato_unico,"cuadro 19.13, serie BE_19_13.1. En revolving y descubiertos el MIR mide SALDO VIVO, no nueva produccion: no existe el concepto de nueva operacion"
Espana,circulante,Saldo de descubiertos y lineas de credito,58195,eur_millones,2026-02,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,volumen,dato_unico,"cuadro 19.13, serie BE_19_13.1. En revolving y descubiertos el MIR mide SALDO VIVO, no nueva produccion: no existe el concepto de nueva operacion"
Espana,circulante,Saldo de descubiertos y lineas de credito,58481,eur_millones,2026-03,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,n/a,volumen,dato_unico,"cuadro 19.13, serie BE_19_13.1. En revolving y descubiertos el MIR mide SALDO VIVO, no nueva produccion: no existe el concepto de nueva operacion"
