pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,4.06,pct_anual,2025-01,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.92,pct_anual,2025-02,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.87,pct_anual,2025-03,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.79,pct_anual,2025-04,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.74,pct_anual,2025-05,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.68,pct_anual,2025-06,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.54,pct_anual,2025-07,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.52,pct_anual,2025-08,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.5,pct_anual,2025-09,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
Espana,linea_credito_circulante,tipo (revolving y descubiertos) | Bank interest rates - revolving loans & overdrafts to corporations,3.57,pct_anual,2025-10,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N,2026-09-16,Total,Total original maturity,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2Z1.A.R.A.2240.EUR.N
