pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,circulante_modelo,Tipo del circulante,3.5757,pct_anual,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,"MIR serie A2Z1, revolving y descubiertos a sociedades no financieras. SIN tramo de importe: el MIR solo publica la categoria total, asi que mezcla PYME y gran empresa"
Espana,circulante_modelo,Diferencia de precio del circulante frente al prestamo PYME,17.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_ponderada_volumen,circulante (todas las empresas) menos prestamo del tramo <=1 M EUR; los perimetros NO coinciden
Espana,circulante_modelo,Diferencia de precio del circulante frente al prestamo total de empresas,16.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,unica comparacion de perimetro homologo: las dos series son del total de sociedades no financieras
Alemania,circulante_modelo,Tipo del circulante,4.9486,pct_anual,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,"MIR serie A2Z1, revolving y descubiertos a sociedades no financieras. SIN tramo de importe: el MIR solo publica la categoria total, asi que mezcla PYME y gran empresa"
Alemania,circulante_modelo,Diferencia de precio del circulante frente al prestamo PYME,56.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_ponderada_volumen,circulante (todas las empresas) menos prestamo del tramo <=1 M EUR; los perimetros NO coinciden
Alemania,circulante_modelo,Diferencia de precio del circulante frente al prestamo total de empresas,138.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,unica comparacion de perimetro homologo: las dos series son del total de sociedades no financieras
Francia,circulante_modelo,Tipo del circulante,3.3871,pct_anual,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,"MIR serie A2Z1, revolving y descubiertos a sociedades no financieras. SIN tramo de importe: el MIR solo publica la categoria total, asi que mezcla PYME y gran empresa"
Francia,circulante_modelo,Diferencia de precio del circulante frente al prestamo PYME,-38.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_ponderada_volumen,circulante (todas las empresas) menos prestamo del tramo <=1 M EUR; los perimetros NO coinciden
Francia,circulante_modelo,Diferencia de precio del circulante frente al prestamo total de empresas,-18.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,unica comparacion de perimetro homologo: las dos series son del total de sociedades no financieras
Italia,circulante_modelo,Tipo del circulante,4.1071,pct_anual,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,"MIR serie A2Z1, revolving y descubiertos a sociedades no financieras. SIN tramo de importe: el MIR solo publica la categoria total, asi que mezcla PYME y gran empresa"
Italia,circulante_modelo,Diferencia de precio del circulante frente al prestamo PYME,-14.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_ponderada_volumen,circulante (todas las empresas) menos prestamo del tramo <=1 M EUR; los perimetros NO coinciden
Italia,circulante_modelo,Diferencia de precio del circulante frente al prestamo total de empresas,54.0000,pb,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,unica comparacion de perimetro homologo: las dos series son del total de sociedades no financieras
Portugal,circulante_modelo,Tipo del circulante,4.4057,pct_anual,2026,"calculo propio sobre BCE (MIR), EBA (COREP C 9.02, Transparency Exercise y Risk Dashboard)",,2026-09-17,,,n/a,nivel,media_simple,"MIR serie A2Z1, revolving y descubiertos a sociedades no financieras. SIN tramo de importe: el MIR solo publica la categoria total, asi que mezcla PYME y gran empresa"
