pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),246,pct_anual,2014-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),279,pct_anual,2014-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),250,pct_anual,2015-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),300,pct_anual,2015-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),232,pct_anual,2016-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),311,pct_anual,2016-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),216,pct_anual,2017-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),262,pct_anual,2017-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),233,pct_anual,2018-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),236,pct_anual,2018-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
Espana,linea_credito_circulante,Q8B. Tipo cobrado por la linea de credito o descubierto | PYME (<250 empleados) | n respuestas (sin ponderar),221,pct_anual,2019-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.Q8B.ZZZZ.NT.AL.UN"
