pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,segmento_empresas,Ingresos del segmento | Corporate Clients,1232,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Grandes empresas, PYME alemana, sector publico aleman, clientes internacionales e institucionales. No aisla PYME."
Alemania,segmento_empresas,Margen de intereses | Corporate Clients,660,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Grandes empresas, PYME alemana, sector publico aleman, clientes internacionales e institucionales. No aisla PYME."
Alemania,segmento_empresas,Comisiones netas | Corporate Clients,376,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Grandes empresas, PYME alemana, sector publico aleman, clientes internacionales e institucionales. No aisla PYME."
Alemania,segmento_empresas,Resultado operativo | Corporate Clients,490,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Grandes empresas, PYME alemana, sector publico aleman, clientes internacionales e institucionales. No aisla PYME."
Alemania,segmento_empresas,Cartera media de prestamos | Corporate Clients,123000,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Grandes empresas, PYME alemana, sector publico aleman, clientes internacionales e institucionales. No aisla PYME."
Alemania,segmento_empresas,Comisiones netas sobre ingresos del segmento | Corporate Clients,30.5,pct_ingresos,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,ratio,dato_unico,calculo propio sobre las dos filas anteriores
Paises Bajos,segmento_empresas,Ingresos del segmento | Corporate Banking,1694,eur_millones,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Margen de intereses | Corporate Banking,1093,eur_millones,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Comisiones netas | Corporate Banking,429,eur_millones,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Resultado operativo | Corporate Banking,855,eur_millones,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Ratio de eficiencia (cost-income) | Corporate Banking,49.5,pct_ingresos,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Coste del riesgo | Corporate Banking,15.0,pb,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,ROE del segmento | Corporate Banking,10.8,pct_roe,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Prestamos a clientes | Corporate Banking,86900,eur_millones,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Activos ponderados por riesgo | Corporate Banking,77400,eur_millones,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Banca corporativa, incluye Clearing y Global Markets. La PYME neerlandesa esta en Personal & Business Banking, segmento distinto."
Paises Bajos,segmento_empresas,Comisiones netas sobre ingresos del segmento | Corporate Banking,25.3,pct_ingresos,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,calculo propio sobre las dos filas anteriores
Italia,segmento_empresas,Ingresos del segmento | Banca dei Territori,6205,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Costes operativos | Banca dei Territori,2898,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Resultado operativo | Banca dei Territori,3307,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Ratio de eficiencia (cost-income) | Banca dei Territori,46.7,pct_ingresos,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Provisiones y saneamientos | Banca dei Territori,528,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Resultado neto | Banca dei Territori,1727,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Prestamos a clientes | Banca dei Territori,219940,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Italia,segmento_empresas,Prestamos a clientes al cierre anterior | Banca dei Territori,219992,eur_millones,2026-H1,"Intesa Sanpaolo (Intesa Sanpaolo, resultados consolidados a 30 junio 2026, p. 16; prestamos por division, informe semestral a 30 junio 2026, p. 72)",https://group.intesasanpaolo.com/en/investor-relations,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Retail, clientes exclusive, empresas con necesidades complejas (generalmente PYME) y no lucrativas. NO desglosa intereses ni comisiones por division."
Espana,segmento_empresas,Margen de intereses | Grupo consolidado,5390,eur_millones,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,importe,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
