pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,segmento_empresas,Commerzbank | Ingresos del segmento sobre la inversion,4.0065,pct_cartera,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (cartera media del periodo), 123000 M EUR. Partidas anualizadas x4 desde 2026-Q2. PERIMETRO: segmento publicado. NO es un margen de prestamo: el ingreso incluye el margen de depositos y la operativa transaccional del segmento"
Alemania,segmento_empresas,Commerzbank | Margen de intereses sobre la inversion,2.1463,pct_cartera,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (cartera media del periodo), 123000 M EUR. Partidas anualizadas x4 desde 2026-Q2. PERIMETRO: segmento publicado. incluye el margen de depositos del segmento"
Alemania,segmento_empresas,Commerzbank | Comisiones netas sobre la inversion,1.2228,pct_cartera,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (cartera media del periodo), 123000 M EUR. Partidas anualizadas x4 desde 2026-Q2. PERIMETRO: segmento publicado. esta SI es comparable con el supuesto de 0.87 % del modelo"
Alemania,segmento_empresas,Commerzbank | Inversion crediticia del perimetro,123000.0000,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"denominador: inversion crediticia del mismo perimetro (cartera media del periodo), 123000 M EUR. Partidas anualizadas x4 desde 2026-Q2. PERIMETRO: segmento publicado. denominador de todas las filas anteriores; base: cartera media del periodo"
P. Bajos,segmento_empresas,ABN AMRO | Ingresos del segmento sobre la inversion,3.8987,pct_cartera,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (saldo final, neto), 86900 M EUR. Partidas anualizadas x2 desde 2026-H1. PERIMETRO: segmento publicado. NO es un margen de prestamo: el ingreso incluye el margen de depositos y la operativa transaccional del segmento"
P. Bajos,segmento_empresas,ABN AMRO | Margen de intereses sobre la inversion,2.5155,pct_cartera,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (saldo final, neto), 86900 M EUR. Partidas anualizadas x2 desde 2026-H1. PERIMETRO: segmento publicado. incluye el margen de depositos del segmento"
P. Bajos,segmento_empresas,ABN AMRO | Comisiones netas sobre la inversion,0.9873,pct_cartera,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (saldo final, neto), 86900 M EUR. Partidas anualizadas x2 desde 2026-H1. PERIMETRO: segmento publicado. esta SI es comparable con el supuesto de 0.87 % del modelo"
P. Bajos,segmento_empresas,ABN AMRO | Costes operativos sobre la inversion,1.9299,pct_cartera,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (saldo final, neto), 86900 M EUR. Partidas anualizadas x2 desde 2026-H1. PERIMETRO: segmento publicado. publicados, o deducidos del ratio de eficiencia sobre el ingreso"
P. Bajos,segmento_empresas,ABN AMRO | Coste del riesgo sobre la inversion,15.0000,pb,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (saldo final, neto), 86900 M EUR. Partidas anualizadas x2 desde 2026-H1. PERIMETRO: segmento publicado. dotaciones anualizadas sobre la inversion"
P. Bajos,segmento_empresas,ABN AMRO | Resultado antes de impuestos sobre la inversion,1.8189,pct_cartera,2026-H1,"ABN AMRO (ABN AMRO, Interim Report & Quarterly Report Q2 2026, p. 12)",https://www.abnamro.com/en/investor-relations,2026-09-22,,,entidad,ratio,dato_unico,"denominador: inversion crediticia del mismo perimetro (saldo final, neto), 86900 M EUR. Partidas anualizadas x2 desde 2026-H1. PERIMETRO: segmento publicado. ingresos menos costes menos coste del riesgo"
