pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,banco_pyme,Exposicion PYME en Espana | BBVA,24410.2800,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"valor de exposicion, partida 2520523, contraparte con Country = 28 (Espana). Solo cartera espanola del grupo"
Espana,banco_pyme,"Activos ponderados por riesgo, PYME en Espana | BBVA",17320.4510,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520533, contraparte espanola"
Espana,banco_pyme,Densidad de RWA de la cartera PYME en Espana | BBVA,70.9556,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,OBSERVADO. RWA sobre valor de exposicion de la cartera PYME espanola; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Espana,banco_pyme,Ratio CET1 | BBVA,13.3403,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"CET1 (2520102, con ajustes transitorios) sobre RWA totales (2520138); GRUPO CONSOLIDADO, no Espana: incluye el negocio internacional, que en este banco es mayoritario"
Espana,banco_pyme,Ratio de eficiencia (cost-to-income) | BBVA,34.2751,pct_ingresos,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"gastos de administracion sobre margen bruto, partidas 2520317 y 2520316; GRUPO CONSOLIDADO, no Espana: incluye el negocio internacional, que en este banco es mayoritario"
Espana,banco_pyme,Provisiones de la cartera PYME en Espana | BBVA,887.9000,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520553, contraparte espanola"
Espana,banco_pyme,Cobertura de la exposicion PYME en default en Espana | BBVA,65.6195,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"OBSERVADO. Provisiones de la cartera PYME sobre su exposicion en default. Incluye provisiones de las fases 1 y 2, asi que sobreestima la cobertura del default en si; el sesgo es el mismo para los cinco, de modo que sirve para comparar entre bancos, no como nivel absoluto"
Espana,banco_pyme,Tasa de exposicion PYME en default en Espana | BBVA,3.9779,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"exposicion original en default sobre exposicion original de PYME, contraparte espanola. Es un ratio de STOCK, no una PD de flujo"
Espana,banco_pyme,Exposicion PYME en Espana | Bankinter,14552.6638,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"valor de exposicion, partida 2520523, contraparte con Country = 28 (Espana). Solo cartera espanola del grupo"
Espana,banco_pyme,"Activos ponderados por riesgo, PYME en Espana | Bankinter",7763.8171,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520533, contraparte espanola"
Espana,banco_pyme,Densidad de RWA de la cartera PYME en Espana | Bankinter,53.3498,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,OBSERVADO. RWA sobre valor de exposicion de la cartera PYME espanola; incorpora ya el factor de apoyo a PYME del art. 501 CRR
