pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,banco_pyme,Mora de la cartera PYME en Espana | BBVA,3.9385,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | BBVA,52.0530,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | BBVA,3.7256,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | BBVA,68.5371,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | BBVA,4.0362,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | BBVA,60.5243,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | BBVA,3.9779,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | BBVA,65.6195,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Bankinter,2.5141,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Bankinter,56.1053,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Bankinter,2.7643,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Bankinter,51.9434,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Bankinter,2.9206,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Bankinter,53.1802,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Bankinter,2.3354,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Bankinter,74.0967,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | CaixaBank,5.2905,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | CaixaBank,64.4339,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | CaixaBank,5.1814,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | CaixaBank,61.3654,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | CaixaBank,4.7501,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | CaixaBank,62.1654,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | CaixaBank,5.2971,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | CaixaBank,53.6498,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Sabadell,7.3245,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Sabadell,48.3868,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Sabadell,6.8653,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Sabadell,47.2687,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Sabadell,6.3743,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Sabadell,47.6637,pct_cartera,2025-03,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Sabadell,5.9121,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Sabadell,56.0930,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Santander,7.6037,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
Espana,banco_pyme,Cobertura de la cartera PYME en Espana | Santander,43.2231,pct_cartera,2024-09,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,provisiones sobre exposicion en default; incluye provisiones de fases 1 y 2
Espana,banco_pyme,Mora de la cartera PYME en Espana | Santander,8.5809,pct_cartera,2024-12,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"exposicion original en default sobre exposicion original, contraparte espanola; ratio de STOCK"
