pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,banco_pyme_modelo,Ingreso total del prestamo PYME | Santander,4.2840,pct_anual,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"Precio, comisiones, coste de los recursos y tipo impositivo son COMUNES a los cinco: ningun banco publica esas magnitudes por segmento PYME. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
Espana,banco_pyme_modelo,Margen bruto del prestamo PYME | Santander,3.5218,pct_anual,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"Precio, comisiones, coste de los recursos y tipo impositivo son COMUNES a los cinco: ningun banco publica esas magnitudes por segmento PYME. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
Espana,banco_pyme_modelo,Coste del riesgo PYME | Santander,0.8533,pct_cartera,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,SUPUESTO: PD x LGD de PYME de Espana (0.59 %) escalado por la mora PYME espanola de este banco (7.80 %) frente al agregado de los cinco (5.43 %)
Espana,banco_pyme_modelo,Gastos de explotacion del prestamo PYME | Santander,1.3027,pct_cartera,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"eficiencia observada del banco aplicada al margen. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
Espana,banco_pyme_modelo,Resultado antes de impuestos del prestamo PYME | Santander,1.3659,pct_cartera,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"Precio, comisiones, coste de los recursos y tipo impositivo son COMUNES a los cinco: ningun banco publica esas magnitudes por segmento PYME. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
Espana,banco_pyme_modelo,Capital asignado al prestamo PYME | Santander,8.1358,pct_rwa,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"densidad de RWA de su cartera PYME espanola por su ratio CET1, ambos observados"
Espana,banco_pyme_modelo,ROE modelizado del prestamo PYME | Santander,11.7518,pct_roe,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"Precio, comisiones, coste de los recursos y tipo impositivo son COMUNES a los cinco: ningun banco publica esas magnitudes por segmento PYME. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
Espana,banco_pyme_modelo,ROE modelizado del prestamo PYME sin escalar el riesgo | Santander,13.9817,pct_roe,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,variante con el coste del riesgo de PYME de Espana igual para los cinco; aisla el efecto de la mora relativa
Espana,banco_pyme_modelo,Ingreso total del prestamo PYME | BBVA,4.2840,pct_anual,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"Precio, comisiones, coste de los recursos y tipo impositivo son COMUNES a los cinco: ningun banco publica esas magnitudes por segmento PYME. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
Espana,banco_pyme_modelo,Margen bruto del prestamo PYME | BBVA,3.5218,pct_anual,2025-06,"calculo propio sobre EBA (Transparency Exercise y COREP C 9.02), BCE (MIR) y Banco de Espana (Boletin, cuadro 19.6)",,2026-09-17,Hasta 1 M EUR,,entidad,nivel,dato_unico,"Precio, comisiones, coste de los recursos y tipo impositivo son COMUNES a los cinco: ningun banco publica esas magnitudes por segmento PYME. La eficiencia y el CET1 son de grupo consolidado y en este banco el negocio internacional es mayoritario, asi que no representan a su banca espanola."
