pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,pyme_total,Bankinter | ROE de la cartera PYME Espana (modelo propio),20.70,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,sobre capital regulatorio asignado = CET1 %% de grupo x RWA PYME Espana
Espana,pyme_total,Bankinter | ROE de grupo sobre CET1,19.60,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,beneficio atribuido anualizado (x4/2 trimestres) / CET1. negocio practicamente domestico
Espana,pyme_total,Bankinter | RoTE de grupo (patrimonio neto tangible),18.17,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,"beneficio atribuido anualizado / (patrimonio total - intangibles). Calculo propio sobre el EBA, NO es la cifra titulada por el banco. negocio practicamente domestico"
Espana,pyme_total,Bankinter | Cuna por denominador (CET1 frente a tangible),1.43,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,"cuanto sube el ratio solo por dividir por CET1 en vez de por patrimonio tangible, a igual beneficio"
Espana,pyme_total,Bankinter | Peso de la RWA PYME Espana sobre la RWA del grupo,17.64,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,cuanto del grupo representa el segmento que modelizamos
Espana,pyme_total,Sabadell | ROE de la cartera PYME Espana (modelo propio),20.20,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,sobre capital regulatorio asignado = CET1 %% de grupo x RWA PYME Espana
Espana,pyme_total,Sabadell | ROE de grupo sobre CET1,18.85,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,beneficio atribuido anualizado (x4/2 trimestres) / CET1. negocio practicamente domestico
Espana,pyme_total,Sabadell | RoTE de grupo (patrimonio neto tangible),15.87,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,"beneficio atribuido anualizado / (patrimonio total - intangibles). Calculo propio sobre el EBA, NO es la cifra titulada por el banco. negocio practicamente domestico"
Espana,pyme_total,Sabadell | Cuna por denominador (CET1 frente a tangible),2.98,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,"cuanto sube el ratio solo por dividir por CET1 en vez de por patrimonio tangible, a igual beneficio"
Espana,pyme_total,Sabadell | Peso de la RWA PYME Espana sobre la RWA del grupo,10.51,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,cuanto del grupo representa el segmento que modelizamos
Espana,pyme_total,CaixaBank | ROE de la cartera PYME Espana (modelo propio),17.70,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,sobre capital regulatorio asignado = CET1 %% de grupo x RWA PYME Espana
Espana,pyme_total,CaixaBank | ROE de grupo sobre CET1,19.93,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,beneficio atribuido anualizado (x4/2 trimestres) / CET1. negocio practicamente domestico
Espana,pyme_total,CaixaBank | RoTE de grupo (patrimonio neto tangible),17.43,pct_roe,2025-06,"EBA, EU-wide Transparency Exercise 2025 (tr_oth.csv), y modelo propio de ROE PYME",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,entidad,ratio,dato_unico,"beneficio atribuido anualizado / (patrimonio total - intangibles). Calculo propio sobre el EBA, NO es la cifra titulada por el banco. negocio practicamente domestico"
