pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Francia,factoring,Volumen cedido (turnover),439430.0,eur_millones,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo; no comparable con cartera de credito"
Francia,factoring,Cuota sobre el mercado europeo,17.2,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,"sobre un total europeo de 2,055 billones de euros"
Francia,factoring,Penetracion sobre el PIB,14.8,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,volumen cedido anual sobre PIB
Francia,factoring,Variacion anual del volumen,1.9,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,frente al ano anterior
Alemania,factoring,Volumen cedido (turnover),423472.0,eur_millones,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo; no comparable con cartera de credito"
Alemania,factoring,Cuota sobre el mercado europeo,16.6,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,"sobre un total europeo de 2,055 billones de euros"
Alemania,factoring,Penetracion sobre el PIB,9.5,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,volumen cedido anual sobre PIB
Alemania,factoring,Variacion anual del volumen,6.2,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,frente al ano anterior
Italia,factoring,Volumen cedido (turnover),297445.0,eur_millones,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo; no comparable con cartera de credito"
Italia,factoring,Cuota sobre el mercado europeo,11.6,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,"sobre un total europeo de 2,055 billones de euros"
Italia,factoring,Penetracion sobre el PIB,13.2,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,volumen cedido anual sobre PIB
Italia,factoring,Variacion anual del volumen,3.8,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,frente al ano anterior
Espana,factoring,Volumen cedido (turnover),269885.0,eur_millones,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo; no comparable con cartera de credito"
Espana,factoring,Cuota sobre el mercado europeo,10.6,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,"sobre un total europeo de 2,055 billones de euros"
Espana,factoring,Penetracion sobre el PIB,16.5,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,volumen cedido anual sobre PIB
Espana,factoring,Variacion anual del volumen,1.2,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,frente al ano anterior
Paises Bajos,factoring,Volumen cedido (turnover),165399.0,eur_millones,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo; no comparable con cartera de credito"
Paises Bajos,factoring,Cuota sobre el mercado europeo,6.5,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,"sobre un total europeo de 2,055 billones de euros"
Paises Bajos,factoring,Penetracion sobre el PIB,14.0,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,volumen cedido anual sobre PIB
Paises Bajos,factoring,Variacion anual del volumen,5.3,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,frente al ano anterior
Portugal,factoring,Volumen cedido (turnover),51509.0,eur_millones,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo; no comparable con cartera de credito"
Portugal,factoring,Cuota sobre el mercado europeo,2.0,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,"sobre un total europeo de 2,055 billones de euros"
Portugal,factoring,Penetracion sobre el PIB,20.7,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,volumen cedido anual sobre PIB
Portugal,factoring,Variacion anual del volumen,12.7,pct_cartera,2025,"EUF, EU Federation for Factoring, datos anuales 2025",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-16,,,n/a,ratio,dato_unico,frente al ano anterior
