pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,factoring_y_confirming,Cesiones totales factoring y confirming,269885.0,eur_millones,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,volumen,dato_unico,coincide con la cifra que la EUF publica para Espana
Espana,factoring_y_confirming,Cesiones de factoring,127984.0,eur_millones,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,volumen,dato_unico,"47,4 % del total"
Espana,factoring_y_confirming,Cesiones de confirming,141901.0,eur_millones,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,volumen,dato_unico,"52,6 % del total; MAYORIA del agregado espanol"
Espana,factoring_y_confirming,Peso del confirming sobre el total,52.6,pct_cartera,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,ratio,dato_unico,clave para la comparabilidad entre paises
Espana,factoring_y_confirming,Ordenes de pago de confirming,273000.0,eur_millones,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,volumen,dato_unico,"volumen de ordenes gestionadas, no financiado"
Espana,factoring_y_confirming,Creditos gestionados,400000.0,eur_millones,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,volumen,dato_unico,supera por primera vez los 400.000 M EUR; ~24 % del PIB
Espana,factoring_y_confirming,"Penetracion sobre el PIB, creditos cedidos",16.5,pct_cartera,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,ratio,dato_unico,los creditos gestionados serian ~24 %
Espana,factoring_y_confirming,Variacion anual de las cesiones,1.2,pct_cartera,2025,"AEF, Asociacion Espanola de Factoring, datos cierre 2025",https://factoringasociacion.com/rueda-de-prensa-aef-datos-cierre-2025/,2026-09-16,,,n/a,ratio,dato_unico,frente a 266.676 M EUR en 2024
Italia,factoring_y_confirming,Turnover acumulado,289105.0,eur_millones,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,volumen,dato_unico,"+3,83 % anual; la EUF publica 297.445 para Italia, perimetros distintos"
Italia,factoring_y_confirming,Outstanding (saldo vivo),71348.0,eur_millones,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,volumen,dato_unico,"+0,99 %; es SALDO, no flujo cedido"
Italia,factoring_y_confirming,Turnover de supply chain finance,27330.0,eur_millones,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,volumen,dato_unico,"-2,42 % anual"
Italia,factoring_y_confirming,"Del cual, reverse factoring",21960.0,eur_millones,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,volumen,dato_unico,"-7,98 % anual"
Italia,factoring_y_confirming,"Del cual, confirming",5370.0,eur_millones,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,volumen,dato_unico,"+29,67 % anual; solo el 1,9 % del turnover total italiano"
Italia,factoring_y_confirming,Peso del confirming sobre el total,1.9,pct_cartera,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,ratio,dato_unico,"frente al 52,6 % de Espana"
Italia,factoring_y_confirming,Creditos deteriorados sobre el total,2.0,pct_cartera,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,ratio,dato_unico,"de los cuales sofferenze 1,03 %"
Italia,factoring_y_confirming,Clientes activos por turnover,25639.0,eur_millones,2025,"Assifact, Il factoring in cifre, diciembre 2025 (datos definitivos)",https://www.assifact.it/category/statistiche/,2026-09-16,,,n/a,volumen,dato_unico,"NUMERO de clientes, no importe; unidad forzada por el esquema"
