pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Francia,financiacion_pyme,Volumen de factoring | Total,21206.0000,eur_millones,2007,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,22459.0000,eur_millones,2008,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,18843.0000,eur_millones,2009,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,20654.0000,eur_millones,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,22457.0000,eur_millones,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,22596.0000,eur_millones,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,24798.0000,eur_millones,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,25568.0000,eur_millones,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,27968.0000,eur_millones,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Francia,financiacion_pyme,Volumen de factoring | Total,31042.0000,eur_millones,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
