pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",290303.0318,eur_millones,2024-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",290594.7930,eur_millones,2024-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",288641.5375,eur_millones,2024-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",293207.5126,eur_millones,2024-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",285400.1281,eur_millones,2025-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",281542.7535,eur_millones,2025-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",281244.9576,eur_millones,2025-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",270657.9010,eur_millones,2025-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Alemania,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",269487.2483,eur_millones,2026-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",120170.4823,eur_millones,2024-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",120542.7177,eur_millones,2024-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",120534.6993,eur_millones,2024-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",122840.1476,eur_millones,2024-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",117356.0396,eur_millones,2025-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",108559.1736,eur_millones,2025-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",108715.9326,eur_millones,2025-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",109977.2277,eur_millones,2025-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Espana,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",101470.3110,eur_millones,2026-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1368747.6716,eur_millones,2024-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1388679.0108,eur_millones,2024-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1390357.4565,eur_millones,2024-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1399666.5370,eur_millones,2024-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1395157.4989,eur_millones,2025-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1391009.8721,eur_millones,2025-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1405684.7413,eur_millones,2025-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1406905.7865,eur_millones,2025-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Union Europea,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",1429283.5682,eur_millones,2026-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Francia,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",296987.7471,eur_millones,2024-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Francia,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",298066.2295,eur_millones,2024-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Francia,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",304125.9085,eur_millones,2024-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Francia,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",307079.1725,eur_millones,2024-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Francia,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",307698.6075,eur_millones,2025-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
Francia,inmueble_comercial_garantia_hipotecaria,"Saldo bruto | Sociedades no financieras, inmueble comercial (CRE)",311184.3156,eur_millones,2025-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_6; muestra de bancos del EBA"
