pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,coste_recursos_pyme,Tipo de deposito a la vista,0.4400,pct_anual,2026,"BCE, dataset MIR",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_simple,"nueva produccion, media 2026"
Espana,coste_recursos_pyme,Tipo de deposito a plazo,1.9671,pct_anual,2026,"BCE, dataset MIR",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_simple,"nueva produccion, media 2026; serie de vencimiento total (MATURITY = A), no la media de las variantes de vencimiento, que se solapan"
Espana,coste_recursos_pyme,Saldo de deposito a la vista,298990.7143,eur_millones,2026,"BCE, dataset BSI",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,importe,dato_unico,"serie L21, sector 2240, saldo medio 2026"
Espana,coste_recursos_pyme,Saldo de deposito a plazo,79951.0000,eur_millones,2026,"BCE, dataset BSI",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,importe,dato_unico,"serie L22, sector 2240, saldo medio 2026"
Espana,coste_recursos_pyme,Peso del deposito a la vista,78.9015,pct_cartera,2026,"BCE, dataset BSI",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,ratio,media_ponderada_volumen,sobre vista mas plazo
Espana,coste_recursos_pyme,Coste ponderado de los recursos de empresa,0.7622,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,tipos del MIR ponderados por los saldos del BSI
Espana,coste_recursos_pyme,Margen sobre la facilidad de deposito del BCE,1.3278,pct_anual,2026,"BCE, datasets MIR, BSI y FM",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,facilidad del BCE 2.09% menos coste ponderado
Alemania,coste_recursos_pyme,Tipo de deposito a la vista,0.7243,pct_anual,2026,"BCE, dataset MIR",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_simple,"nueva produccion, media 2026"
Alemania,coste_recursos_pyme,Tipo de deposito a plazo,2.0171,pct_anual,2026,"BCE, dataset MIR",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_simple,"nueva produccion, media 2026; serie de vencimiento total (MATURITY = A), no la media de las variantes de vencimiento, que se solapan"
Alemania,coste_recursos_pyme,Saldo de deposito a la vista,612825.7143,eur_millones,2026,"BCE, dataset BSI",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,importe,dato_unico,"serie L21, sector 2240, saldo medio 2026"
Alemania,coste_recursos_pyme,Saldo de deposito a plazo,246312.4286,eur_millones,2026,"BCE, dataset BSI",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,importe,dato_unico,"serie L22, sector 2240, saldo medio 2026"
Alemania,coste_recursos_pyme,Peso del deposito a la vista,71.3303,pct_cartera,2026,"BCE, dataset BSI",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,ratio,media_ponderada_volumen,sobre vista mas plazo
Alemania,coste_recursos_pyme,Coste ponderado de los recursos de empresa,1.0949,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,tipos del MIR ponderados por los saldos del BSI
Alemania,coste_recursos_pyme,Margen sobre la facilidad de deposito del BCE,0.9951,pct_anual,2026,"BCE, datasets MIR, BSI y FM",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,facilidad del BCE 2.09% menos coste ponderado
Francia,coste_recursos_pyme,Tipo de deposito a la vista,0.5157,pct_anual,2026,"BCE, dataset MIR",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_simple,"nueva produccion, media 2026"
