pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,coste_recursos,Coste de los depositos de empresa,0.7622,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,"tipos del MIR de vencimiento total, ponderados por los saldos del BSI; sector 2240, instrumentos L21 y L22"
Espana,coste_recursos,Coste de los depositos de hogares,0.3987,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,"tipos del MIR de vencimiento total, ponderados por los saldos del BSI; sector 2250, instrumentos L21, L22 y L23"
Espana,coste_recursos,Coste de los depositos del sistema,0.4911,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,"tipos del MIR de vencimiento total, ponderados por los saldos del BSI; empresas mas hogares; NO incluye deuda emitida, repos, financiacion del banco central, depositos interbancarios ni capital, asi que no es el coste de financiacion total del sistema"
Espana,coste_recursos,Diferencia entre el coste de empresa y el del sistema,27.0000,pb,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,positivo = la empresa cuesta mas que el sistema
Espana,coste_recursos,Peso de los depositos de empresa sobre el total minorista,25.4179,pct_cartera,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,ratio,media_ponderada_volumen,"saldos del BSI, empresas sobre empresas mas hogares"
Espana,coste_recursos,Saldo de depositos de empresa,378941.7143,eur_millones,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,importe,media_ponderada_volumen,"sector 2240, suma de L21 y L22, saldo medio 2026"
Espana,coste_recursos,Saldo de depositos de hogares,1111901.7143,eur_millones,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,importe,media_ponderada_volumen,"sector 2250, suma de L21, L22 y L23, saldo medio 2026"
Espana,coste_recursos,Margen del sistema sobre la facilidad de deposito del BCE,1.5989,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,facilidad del BCE 2.09% menos coste de los depositos del sistema
Alemania,coste_recursos,Coste de los depositos de empresa,1.0949,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,"tipos del MIR de vencimiento total, ponderados por los saldos del BSI; sector 2240, instrumentos L21 y L22"
Alemania,coste_recursos,Coste de los depositos de hogares,0.8817,pct_anual,2026,"BCE, datasets MIR y BSI (calculo propio)",https://data.ecb.europa.eu/data/datasets/BSI,2026-09-17,,,n/a,nivel,media_ponderada_volumen,"tipos del MIR de vencimiento total, ponderados por los saldos del BSI; sector 2250, instrumentos L21, L22 y L23"
