pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.61,pct_anual,2025-01,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.59,pct_anual,2025-02,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.54,pct_anual,2025-03,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.49,pct_anual,2025-04,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.44,pct_anual,2025-05,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.41,pct_anual,2025-06,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.4,pct_anual,2025-07,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.41,pct_anual,2025-08,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.41,pct_anual,2025-09,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.41,pct_anual,2025-10,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
Espana,depositos_empresas,tipo_deposito_vista | Bank interest rates - overnight deposits from corporations,0.4,pct_anual,2025-11,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.L21.A.R.A.2240.EUR.N,2026-09-16,Total,Credit and other institutions (MFI except MMFs and central banks) reporting sector - Overnight deposits,n/a,nivel,media_ponderada_volumen,serie MIR.M.ES.B.L21.A.R.A.2240.EUR.N
