pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-01,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-02,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-03,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-04,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-05,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-06,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-07,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-08,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-09,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-10,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-11,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-12,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-13,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-14,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-15,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-16,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-17,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-18,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-19,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-20,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-21,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-22,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
