pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.76,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Total clases,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.34,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Total clases,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.98,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Total clases,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.09,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Total clases,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,6.08,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Hasta 50.000 EUR,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,5.66,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Hasta 50.000 EUR,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,7.42,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Hasta 50.000 EUR,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,7.56,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Hasta 50.000 EUR,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,5.62,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 50.000 a 125.000 EUR,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.58,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 50.000 a 125.000 EUR,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
