pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.2712,pct_anual,2026-01,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.4087,pct_anual,2026-02,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.4530,pct_anual,2026-03,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.5918,pct_anual,2026-04,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.7296,pct_anual,2026-05,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.7451,pct_anual,2026-06,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,TEDR de credito a otros fines | Empresarios individuales,4.7420,pct_anual,2026-07,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,nivel,media_ponderada_volumen,"cuadro 19.4, serie 16. Financiacion de fines empresariales a autonomos; el SEC 2010 los clasifica en HOGARES, no en sociedades no financieras, asi que no estan en las series de SNF del modelo"
Espana,credito_autonomos,Volumen de credito a otros fines | Empresarios individuales,771,eur_millones,2026-01,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,volumen,dato_unico,"cuadro 19.12, serie 16"
Espana,credito_autonomos,Volumen de credito a otros fines | Empresarios individuales,786,eur_millones,2026-02,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,volumen,dato_unico,"cuadro 19.12, serie 16"
Espana,credito_autonomos,Volumen de credito a otros fines | Empresarios individuales,962,eur_millones,2026-03,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-18,,,sector_institucional,volumen,dato_unico,"cuadro 19.12, serie 16"
