pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.2611,pct_anual,2026-01,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.3323,pct_anual,2026-02,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.3179,pct_anual,2026-03,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.4131,pct_anual,2026-04,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.4829,pct_anual,2026-05,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.5507,pct_anual,2026-06,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,TEDR (tipo sin comisiones),3.5634,pct_anual,2026-07,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,nivel,media_ponderada_volumen,"cuadro 19.5, serie BE_19_5.3; plazo = VENCIMIENTO, no fijacion del tipo"
Espana,prestamo_empresas_por_tramo,Volumen de nuevas operaciones,14225,eur_millones,2026-01,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,volumen,dato_unico,"cuadro 19.13, serie BE_19_13.3"
Espana,prestamo_empresas_por_tramo,Volumen de nuevas operaciones,12974,eur_millones,2026-02,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,volumen,dato_unico,"cuadro 19.13, serie BE_19_13.3"
Espana,prestamo_empresas_por_tramo,Volumen de nuevas operaciones,16096,eur_millones,2026-03,"Banco de Espana, Boletin Estadistico, capitulo 19",https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-19.html,2026-09-16,"Hasta 0,25 M EUR",Total,tamano_prestamo,volumen,dato_unico,"cuadro 19.13, serie BE_19_13.3"
