pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Francia,financiacion_pyme,Tipo de interes | Gran empresa,4.5191,pct_anual,2007,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,4.7592,pct_anual,2008,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.9623,pct_anual,2009,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.5703,pct_anual,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,2.2254,pct_anual,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.7178,pct_anual,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.4597,pct_anual,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.3030,pct_anual,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.1872,pct_anual,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.1429,pct_anual,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.0986,pct_anual,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.0298,pct_anual,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,0.9018,pct_anual,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,0.7299,pct_anual,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
Francia,financiacion_pyme,Tipo de interes | Gran empresa,1.1009,pct_anual,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,definicion_nacional,nivel,dato_unico,"medida INTEREST_RATE; definicion nacional de PYME, no armonizada entre paises; unidad original PA"
