pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.95,pct_anual,2025-01,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.97,pct_anual,2025-02,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.55,pct_anual,2025-03,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.49,pct_anual,2025-04,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.35,pct_anual,2025-05,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.21,pct_anual,2025-06,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.21,pct_anual,2025-07,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.23,pct_anual,2025-08,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.18,pct_anual,2025-09,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.24,pct_anual,2025-10,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.3,pct_anual,2025-11,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.19,pct_anual,2025-12,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.24,pct_anual,2026-01,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.3,pct_anual,2026-02,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
Espana,prestamo_empresas_por_tramo,tipo | Bank interest rates - loans to corporations of up to EUR 1M (new business),3.31,pct_anual,2026-03,"BCE, ECB Data Portal, dataset MIR",https://data.ecb.europa.eu/data/datasets/MIR/MIR.MIR.M.ES.B.A2A.A.R.0.2240.EUR.N,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,serie MIR.M.ES.B.A2A.A.R.0.2240.EUR.N
