pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,prestamo_empresas_por_tramo,Tipo medio simple (sin volumen publicado),4.5571,pct_anual,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,"Hasta 0,25 M EUR",Total initial rate fixation,tamano_prestamo,nivel,media_simple,"7 meses; el pais no publica volumen de este tramo en 7 de ellos, no se puede ponderar"
Alemania,prestamo_empresas_por_tramo,Tipo medio simple (sin volumen publicado),4.0100,pct_anual,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,"Mas de 0,25 y hasta 1 M EUR",Total initial rate fixation,tamano_prestamo,nivel,media_simple,"7 meses; el pais no publica volumen de este tramo en 7 de ellos, no se puede ponderar"
Alemania,prestamo_empresas_por_tramo,Tipo medio ponderado por volumen,3.4114,pct_anual,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,Mas de 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,7 meses; volumen agregado 547176 M EUR
Alemania,prestamo_empresas_por_tramo,Volumen de nueva produccion acumulado,547176,eur_millones,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,Mas de 1 M EUR,Total initial rate fixation,tamano_prestamo,volumen,dato_unico,7 meses
Alemania,prestamo_empresas_por_tramo,Tipo medio ponderado por volumen,4.3913,pct_anual,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,7 meses; volumen agregado 118869 M EUR
Alemania,prestamo_empresas_por_tramo,Volumen de nueva produccion acumulado,118869,eur_millones,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,volumen,dato_unico,7 meses
Espana,prestamo_empresas_por_tramo,Tipo medio ponderado por volumen,3.4202,pct_anual,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,"Hasta 0,25 M EUR",Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,7 meses; volumen agregado 105779 M EUR
Espana,prestamo_empresas_por_tramo,Volumen de nueva produccion acumulado,105779,eur_millones,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,"Hasta 0,25 M EUR",Total initial rate fixation,tamano_prestamo,volumen,dato_unico,7 meses
Espana,prestamo_empresas_por_tramo,Tipo medio ponderado por volumen,3.3722,pct_anual,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,"Mas de 0,25 y hasta 1 M EUR",Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,7 meses; volumen agregado 32439 M EUR
Espana,prestamo_empresas_por_tramo,Volumen de nueva produccion acumulado,32439,eur_millones,2026 (2026-01 a 2026-07),"BCE, ECB Data Portal, dataset MIR (calculo propio)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-16,"Mas de 0,25 y hasta 1 M EUR",Total initial rate fixation,tamano_prestamo,volumen,dato_unico,7 meses
