pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,prestamo_pyme,Margen neto de riesgo del prestamo PYME,2.9412,pct_anual,2026-07 / 2026-Q1,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,Hasta 1 M EUR,,tamano_prestamo,nivel,media_ponderada_volumen,"precio mas comisiones, menos coste de los recursos y coste del riesgo; antes de gastos y de capital. La comision es un supuesto de 87 pb salvo en Espana"
Espana,prestamo_pyme,Gradiente de precio dentro de PYME,5,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos 0,25-1 M EUR",,tamano_prestamo,nivel,media_ponderada_volumen,sobreprecio del tramo pequeno frente al mediano dentro del perimetro PYME; tramo pequeno promediado por media_ponderada_volumen
Espana,prestamo_pyme,Gradiente de precio PYME frente a gran empresa,-4,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos mas de 1 M EUR",,tamano_prestamo,nivel,media_ponderada_volumen,"el tramo de mas de 1 M EUR no es solo gran empresa, pero es el proxy mas cercano que publica el MIR; tramo pequeno promediado por media_ponderada_volumen"
Alemania,prestamo_pyme,Margen neto de riesgo del prestamo PYME,3.7112,pct_anual,2026-07 / 2026-Q1,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,Hasta 1 M EUR,,tamano_prestamo,nivel,media_ponderada_volumen,"precio mas comisiones, menos coste de los recursos y coste del riesgo; antes de gastos y de capital. La comision es un supuesto de 87 pb salvo en Espana"
Alemania,prestamo_pyme,Gradiente de precio dentro de PYME,55,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos 0,25-1 M EUR",,tamano_prestamo,nivel,media_simple,sobreprecio del tramo pequeno frente al mediano dentro del perimetro PYME; tramo pequeno promediado por media_simple
Alemania,prestamo_pyme,Gradiente de precio PYME frente a gran empresa,115,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos mas de 1 M EUR",,tamano_prestamo,nivel,media_simple,"el tramo de mas de 1 M EUR no es solo gran empresa, pero es el proxy mas cercano que publica el MIR; tramo pequeno promediado por media_simple"
Francia,prestamo_pyme,Margen neto de riesgo del prestamo PYME,2.6235,pct_anual,2026-07 / 2026-Q1,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,Hasta 1 M EUR,,tamano_prestamo,nivel,media_ponderada_volumen,"precio mas comisiones, menos coste de los recursos y coste del riesgo; antes de gastos y de capital. La comision es un supuesto de 87 pb salvo en Espana"
Francia,prestamo_pyme,Gradiente de precio dentro de PYME,48,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos 0,25-1 M EUR",,tamano_prestamo,nivel,media_ponderada_volumen,sobreprecio del tramo pequeno frente al mediano dentro del perimetro PYME; tramo pequeno promediado por media_ponderada_volumen
Francia,prestamo_pyme,Gradiente de precio PYME frente a gran empresa,49,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos mas de 1 M EUR",,tamano_prestamo,nivel,media_ponderada_volumen,"el tramo de mas de 1 M EUR no es solo gran empresa, pero es el proxy mas cercano que publica el MIR; tramo pequeno promediado por media_ponderada_volumen"
Italia,prestamo_pyme,Margen neto de riesgo del prestamo PYME,3.5561,pct_anual,2026-07 / 2026-Q1,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,Hasta 1 M EUR,,tamano_prestamo,nivel,media_ponderada_volumen,"precio mas comisiones, menos coste de los recursos y coste del riesgo; antes de gastos y de capital. La comision es un supuesto de 87 pb salvo en Espana"
Italia,prestamo_pyme,Gradiente de precio dentro de PYME,109,pb,2026-07,calculo propio sobre BCE dataset MIR y parametros IRB del EBA (COREP C 9.02),,2026-09-17,"Hasta 0,25 M EUR menos 0,25-1 M EUR",,tamano_prestamo,nivel,media_ponderada_volumen,sobreprecio del tramo pequeno frente al mediano dentro del perimetro PYME; tramo pequeno promediado por media_ponderada_volumen
