pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,pyme_total,Ponderacion IRB que predice la formula del art. 153 CRR,56.04,pct_rwa,2026-Q1,"Calculo propio sobre EBA (COREP C 9.02), formula del art. 153 CRR",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,"con la PD y la LGD observadas del pais; facturacion 25 M EUR, vencimiento 2.5 anos y factor de apoyo a PYME 0.7619. SUPUESTOS declarados, no datos"
Espana,pyme_total,Residuo: densidad IRB observada menos la que predice la formula,-0.64,pct_rwa,2026-Q1,Calculo propio sobre EBA (Transparency Exercise y COREP C 9.02),https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,negativo = el agregado pondera MENOS de lo que la formula da con los parametros medianos. Ojo: PD y LGD son medianas de entidades y la densidad es media ponderada por volumen; parte del residuo es esa asimetria
Alemania,pyme_total,Ponderacion IRB que predice la formula del art. 153 CRR,46.64,pct_rwa,2026-Q1,"Calculo propio sobre EBA (COREP C 9.02), formula del art. 153 CRR",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,"con la PD y la LGD observadas del pais; facturacion 25 M EUR, vencimiento 2.5 anos y factor de apoyo a PYME 0.7619. SUPUESTOS declarados, no datos"
Alemania,pyme_total,Residuo: densidad IRB observada menos la que predice la formula,-16.54,pct_rwa,2026-Q1,Calculo propio sobre EBA (Transparency Exercise y COREP C 9.02),https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,negativo = el agregado pondera MENOS de lo que la formula da con los parametros medianos. Ojo: PD y LGD son medianas de entidades y la densidad es media ponderada por volumen; parte del residuo es esa asimetria
Francia,pyme_total,Ponderacion IRB que predice la formula del art. 153 CRR,54.45,pct_rwa,2026-Q1,"Calculo propio sobre EBA (COREP C 9.02), formula del art. 153 CRR",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,"con la PD y la LGD observadas del pais; facturacion 25 M EUR, vencimiento 2.5 anos y factor de apoyo a PYME 0.7619. SUPUESTOS declarados, no datos"
Francia,pyme_total,Residuo: densidad IRB observada menos la que predice la formula,-19.15,pct_rwa,2026-Q1,Calculo propio sobre EBA (Transparency Exercise y COREP C 9.02),https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,negativo = el agregado pondera MENOS de lo que la formula da con los parametros medianos. Ojo: PD y LGD son medianas de entidades y la densidad es media ponderada por volumen; parte del residuo es esa asimetria
Italia,pyme_total,Ponderacion IRB que predice la formula del art. 153 CRR,62.33,pct_rwa,2026-Q1,"Calculo propio sobre EBA (COREP C 9.02), formula del art. 153 CRR",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,"con la PD y la LGD observadas del pais; facturacion 25 M EUR, vencimiento 2.5 anos y factor de apoyo a PYME 0.7619. SUPUESTOS declarados, no datos"
Italia,pyme_total,Residuo: densidad IRB observada menos la que predice la formula,-24.63,pct_rwa,2026-Q1,Calculo propio sobre EBA (Transparency Exercise y COREP C 9.02),https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,negativo = el agregado pondera MENOS de lo que la formula da con los parametros medianos. Ojo: PD y LGD son medianas de entidades y la densidad es media ponderada por volumen; parte del residuo es esa asimetria
Portugal,pyme_total,Ponderacion IRB que predice la formula del art. 153 CRR,59.34,pct_rwa,2026-Q1,"Calculo propio sobre EBA (COREP C 9.02), formula del art. 153 CRR",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,"con la PD y la LGD observadas del pais; facturacion 25 M EUR, vencimiento 2.5 anos y factor de apoyo a PYME 0.7619. SUPUESTOS declarados, no datos"
Portugal,pyme_total,Residuo: densidad IRB observada menos la que predice la formula,-11.84,pct_rwa,2026-Q1,Calculo propio sobre EBA (Transparency Exercise y COREP C 9.02),https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-23,,,pyme_interna_banco,ratio,dato_unico,negativo = el agregado pondera MENOS de lo que la formula da con los parametros medianos. Ojo: PD y LGD son medianas de entidades y la densidad es media ponderada por volumen; parte del residuo es esa asimetria
