pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3011923.2247,eur_millones,2024-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3015511.8506,eur_millones,2024-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3076257.5806,eur_millones,2024-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,2955862.0767,eur_millones,2024-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3092591.2141,eur_millones,2025-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3021717.1150,eur_millones,2025-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3004926.0620,eur_millones,2025-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3020034.9433,eur_millones,2025-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Alemania,cartera_credito,Saldo bruto | Total prestamos y anticipos,3122957.6965,eur_millones,2026-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2737282.8538,eur_millones,2024-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2733211.5515,eur_millones,2024-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2744637.2039,eur_millones,2024-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2773134.4647,eur_millones,2024-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2777526.6072,eur_millones,2025-Q1,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2749277.3983,eur_millones,2025-Q2,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2727347.5379,eur_millones,2025-Q3,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
Espana,cartera_credito,Saldo bruto | Total prestamos y anticipos,2766493.4050,eur_millones,2025-Q4,"EBA, Risk Dashboard (anexo de datos)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/risk-monitoring/risk-dashboard,2026-09-16,,,n/a,importe,media_ponderada_volumen,"hoja Loans_1, T20_1; muestra de bancos del EBA"
