pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,capital_empresas,Densidad de RWA de la cartera de empresas,63.8715,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Espana,capital_empresas,Densidad de RWA de Corporates - SME,71.7606,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
Espana,capital_empresas,Densidad de RWA de gran empresa,62.2317,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"Corporates menos Corporates - SME, por diferencia"
Espana,capital_empresas,Peso de la PYME en la exposicion a empresas,17.2087,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,Corporates - SME sobre Corporates
Espana,capital_empresas,Exposicion a empresas,0.7881,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,importe,media_ponderada_volumen,"valor de exposicion, partida 2520522"
Alemania,capital_empresas,Densidad de RWA de la cartera de empresas,44.8018,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Alemania,capital_empresas,Densidad de RWA de Corporates - SME,32.1737,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
Alemania,capital_empresas,Densidad de RWA de gran empresa,47.6447,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"Corporates menos Corporates - SME, por diferencia"
Alemania,capital_empresas,Peso de la PYME en la exposicion a empresas,18.3756,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,Corporates - SME sobre Corporates
Alemania,capital_empresas,Exposicion a empresas,1.3467,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,importe,media_ponderada_volumen,"valor de exposicion, partida 2520522"
Francia,capital_empresas,Densidad de RWA de la cartera de empresas,52.6418,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Francia,capital_empresas,Densidad de RWA de Corporates - SME,57.4285,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
Francia,capital_empresas,Densidad de RWA de gran empresa,51.6276,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"Corporates menos Corporates - SME, por diferencia"
Francia,capital_empresas,Peso de la PYME en la exposicion a empresas,17.4836,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,Corporates - SME sobre Corporates
Francia,capital_empresas,Exposicion a empresas,2.1094,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,importe,media_ponderada_volumen,"valor de exposicion, partida 2520522"
Italia,capital_empresas,Densidad de RWA de la cartera de empresas,51.5041,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Italia,capital_empresas,Densidad de RWA de Corporates - SME,49.5850,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
Italia,capital_empresas,Densidad de RWA de gran empresa,52.0178,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"Corporates menos Corporates - SME, por diferencia"
Italia,capital_empresas,Peso de la PYME en la exposicion a empresas,21.1157,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,Corporates - SME sobre Corporates
Italia,capital_empresas,Exposicion a empresas,0.6350,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,importe,media_ponderada_volumen,"valor de exposicion, partida 2520522"
Portugal,capital_empresas,Densidad de RWA de la cartera de empresas,72.9144,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Portugal,capital_empresas,Densidad de RWA de Corporates - SME,65.8159,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
Portugal,capital_empresas,Densidad de RWA de gran empresa,77.2646,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"Corporates menos Corporates - SME, por diferencia"
Portugal,capital_empresas,Peso de la PYME en la exposicion a empresas,37.9975,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,Corporates - SME sobre Corporates
Portugal,capital_empresas,Exposicion a empresas,0.0491,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,importe,media_ponderada_volumen,"valor de exposicion, partida 2520522"
Paises Bajos,capital_empresas,Densidad de RWA de la cartera de empresas,37.3121,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Paises Bajos,capital_empresas,Densidad de RWA de Corporates - SME,39.4996,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
Paises Bajos,capital_empresas,Densidad de RWA de gran empresa,36.7507,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"Corporates menos Corporates - SME, por diferencia"
Paises Bajos,capital_empresas,Peso de la PYME en la exposicion a empresas,20.4221,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,Corporates - SME sobre Corporates
Paises Bajos,capital_empresas,Exposicion a empresas,0.8507,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,importe,media_ponderada_volumen,"valor de exposicion, partida 2520522"
Irlanda,capital_empresas,Densidad de RWA de la cartera de empresas,85.2055,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"clase de exposicion Corporates completa (codigo 303), que es el perimetro homologo del tipo de circulante del MIR"
Irlanda,capital_empresas,Densidad de RWA de Corporates - SME,71.7740,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,media_ponderada_volumen,"solo la clase Corporates - SME (codigo 302). NO coincide con la densidad de la cartera PYME del modelo del prestamo, que agrega ademas Retail - SME y Secured by mortgages - SME"
