pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,capital_pyme,Exposicion PYME (valor de exposicion),316560.5993,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,suma de entidades cuyo supervisor es este pais
Alemania,capital_pyme,"Activos ponderados por riesgo, PYME",111887.5833,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,partida 2520533 del Transparency Exercise
Alemania,capital_pyme,Densidad de RWA de la cartera PYME,35.3448,pct_rwa,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,OBSERVADO. RWA sobre valor de exposicion; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Alemania,capital_pyme,Exposicion PYME en default,3.3008,pct_cartera,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,exposicion original en default sobre exposicion original
Espana,capital_pyme,Exposicion PYME (valor de exposicion),308377.5973,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,suma de entidades cuyo supervisor es este pais
Espana,capital_pyme,"Activos ponderados por riesgo, PYME",183348.6744,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,partida 2520533 del Transparency Exercise
Espana,capital_pyme,Densidad de RWA de la cartera PYME,59.4559,pct_rwa,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,OBSERVADO. RWA sobre valor de exposicion; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Espana,capital_pyme,Exposicion PYME en default,2.6927,pct_cartera,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,exposicion original en default sobre exposicion original
Francia,capital_pyme,Exposicion PYME (valor de exposicion),961183.5746,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,suma de entidades cuyo supervisor es este pais
Francia,capital_pyme,"Activos ponderados por riesgo, PYME",413276.0316,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,partida 2520533 del Transparency Exercise
Francia,capital_pyme,Densidad de RWA de la cartera PYME,42.9966,pct_rwa,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,OBSERVADO. RWA sobre valor de exposicion; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Francia,capital_pyme,Exposicion PYME en default,3.2913,pct_cartera,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,exposicion original en default sobre exposicion original
Irlanda,capital_pyme,Exposicion PYME (valor de exposicion),16964.0961,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,suma de entidades cuyo supervisor es este pais
Irlanda,capital_pyme,"Activos ponderados por riesgo, PYME",11869.2494,eur_millones,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,importe,media_ponderada_volumen,partida 2520533 del Transparency Exercise
Irlanda,capital_pyme,Densidad de RWA de la cartera PYME,69.9669,pct_rwa,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,OBSERVADO. RWA sobre valor de exposicion; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Irlanda,capital_pyme,Exposicion PYME en default,1.7743,pct_cartera,2025-Q2,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-16,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,exposicion original en default sobre exposicion original
