pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,pyme_total,Densidad de RWA de PYME | estandar (SA),62.96,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por estandar (SA). Portfolio=estandar (SA) del Transparency Exercise
Espana,pyme_total,Exposicion PYME | estandar (SA),166030.84,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por estandar (SA)
Espana,pyme_total,Densidad de RWA de PYME | IRB,55.37,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por IRB. Portfolio=IRB del Transparency Exercise
Espana,pyme_total,Exposicion PYME | IRB,142346.76,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por IRB
Espana,pyme_total,Densidad de RWA de PYME | total,59.46,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,media ponderada de los dos metodos; depende tanto del riesgo como del reparto entre estandar e IRB
Espana,pyme_total,Cuota de la exposicion PYME calculada por IRB,46.16,pct_cartera,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,sobre el valor de exposicion PYME total del sistema
Espana,pyme_total,Ahorro de densidad del IRB frente al estandar,7.58,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,"diferencia en puntos de densidad entre los dos metodos, mismo pais"
Alemania,pyme_total,Densidad de RWA de PYME | estandar (SA),66.03,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por estandar (SA). Portfolio=estandar (SA) del Transparency Exercise
Alemania,pyme_total,Exposicion PYME | estandar (SA),45850.34,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por estandar (SA)
Alemania,pyme_total,Densidad de RWA de PYME | IRB,30.15,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por IRB. Portfolio=IRB del Transparency Exercise
Alemania,pyme_total,Exposicion PYME | IRB,270710.26,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por IRB
Alemania,pyme_total,Densidad de RWA de PYME | total,35.34,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,media ponderada de los dos metodos; depende tanto del riesgo como del reparto entre estandar e IRB
Alemania,pyme_total,Cuota de la exposicion PYME calculada por IRB,85.52,pct_cartera,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,sobre el valor de exposicion PYME total del sistema
Alemania,pyme_total,Ahorro de densidad del IRB frente al estandar,35.88,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,"diferencia en puntos de densidad entre los dos metodos, mismo pais"
Francia,pyme_total,Densidad de RWA de PYME | estandar (SA),67.26,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por estandar (SA). Portfolio=estandar (SA) del Transparency Exercise
Francia,pyme_total,Exposicion PYME | estandar (SA),230379.62,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por estandar (SA)
Francia,pyme_total,Densidad de RWA de PYME | IRB,35.35,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por IRB. Portfolio=IRB del Transparency Exercise
Francia,pyme_total,Exposicion PYME | IRB,730803.96,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por IRB
Francia,pyme_total,Densidad de RWA de PYME | total,43.00,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,media ponderada de los dos metodos; depende tanto del riesgo como del reparto entre estandar e IRB
Francia,pyme_total,Cuota de la exposicion PYME calculada por IRB,76.03,pct_cartera,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,sobre el valor de exposicion PYME total del sistema
Francia,pyme_total,Ahorro de densidad del IRB frente al estandar,31.91,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,"diferencia en puntos de densidad entre los dos metodos, mismo pais"
Italia,pyme_total,Densidad de RWA de PYME | estandar (SA),66.29,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por estandar (SA). Portfolio=estandar (SA) del Transparency Exercise
Italia,pyme_total,Exposicion PYME | estandar (SA),76387.58,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por estandar (SA)
Italia,pyme_total,Densidad de RWA de PYME | IRB,37.67,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por IRB. Portfolio=IRB del Transparency Exercise
Italia,pyme_total,Exposicion PYME | IRB,175632.94,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por IRB
Italia,pyme_total,Densidad de RWA de PYME | total,46.35,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,media ponderada de los dos metodos; depende tanto del riesgo como del reparto entre estandar e IRB
Italia,pyme_total,Cuota de la exposicion PYME calculada por IRB,69.69,pct_cartera,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,sobre el valor de exposicion PYME total del sistema
Italia,pyme_total,Ahorro de densidad del IRB frente al estandar,28.62,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,"diferencia en puntos de densidad entre los dos metodos, mismo pais"
Portugal,pyme_total,Densidad de RWA de PYME | estandar (SA),72.75,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por estandar (SA). Portfolio=estandar (SA) del Transparency Exercise
Portugal,pyme_total,Exposicion PYME | estandar (SA),16661.70,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por estandar (SA)
Portugal,pyme_total,Densidad de RWA de PYME | IRB,47.54,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,RWA / valor de exposicion de la cartera PYME calculada por IRB. Portfolio=IRB del Transparency Exercise
Portugal,pyme_total,Exposicion PYME | IRB,13790.40,eur_millones,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,volumen,media_ponderada_volumen,valor de exposicion (post CRM y CCF) calculado por IRB
Portugal,pyme_total,Densidad de RWA de PYME | total,61.33,pct_rwa,202506,"EBA, EU-wide Transparency Exercise 2025 (tr_cre.csv)",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-21,,,tamano_empresa_definicion_crr,ratio,media_ponderada_volumen,media ponderada de los dos metodos; depende tanto del riesgo como del reparto entre estandar e IRB
