pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,pyme_total,Indice de informacion para la seleccion,64.4000,indice,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"escala 0-100; compuesto de cuatro componentes, ver marco_riesgo.py"
Espana,pyme_total,Margen bruto del prestamo PYME,3.5200,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"ingreso total menos coste de los recursos, %% del saldo medio"
Espana,pyme_total,Coste del riesgo PD x LGD,0.5900,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,perdida esperada anual; NO es el ratio de NPL
Espana,pyme_total,Margen esperado por el nivel de informacion,4.2886,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"ajuste lineal sobre los siete paises; R2 0.47. Indicativo, no causal"
Espana,pyme_total,Residuo de margen frente al ajuste,-0.7686,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"negativo = gana menos margen del que le corresponderia por su informacion. Cuadrante: informacion alta, margen bajo"
Alemania,pyme_total,Indice de informacion para la seleccion,75.0000,indice,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"escala 0-100; compuesto de cuatro componentes, ver marco_riesgo.py"
Alemania,pyme_total,Margen bruto del prestamo PYME,4.1700,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"ingreso total menos coste de los recursos, %% del saldo medio"
Alemania,pyme_total,Coste del riesgo PD x LGD,0.4000,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,perdida esperada anual; NO es el ratio de NPL
Alemania,pyme_total,Margen esperado por el nivel de informacion,4.5400,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"ajuste lineal sobre los siete paises; R2 0.47. Indicativo, no causal"
Alemania,pyme_total,Residuo de margen frente al ajuste,-0.3700,pct_cartera,2026,"Calculo propio sobre Banco Mundial (Doing Business 2020), EBA (COREP C 9.02) y BCE (MIR)",,2026-09-22,,,n/a,ratio,dato_unico,"negativo = gana menos margen del que le corresponderia por su informacion. Cuadrante: informacion alta, margen bajo"
