pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,marco_institucional,Fortaleza de los derechos legales del acreedor,5.0000,indice,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,indice,dato_unico,"escala 0-12; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Profundidad de la informacion crediticia,7.0000,indice,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,indice,dato_unico,"escala 0-8; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Cobertura del registro publico de credito,68.6000,pct_adultos,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,ratio,dato_unico,"cobertura del registro publico de credito; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Cobertura del bureau privado de credito,7.5000,pct_adultos,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,ratio,dato_unico,"cobertura del bureau privado; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Tasa de recuperacion en concurso,77.5000,pct_recuperacion,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,ratio,dato_unico,"centimos por dolar que recupera el acreedor; NO es un tipo de interes; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Tiempo de resolucion del concurso,1.5000,anios,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,ratio,dato_unico,"tiempo de resolucion del concurso; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Coste del procedimiento concursal,11.0000,pct_masa_concursal,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,ratio,dato_unico,"coste del procedimiento sobre la masa; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Fortaleza del marco concursal,12.0000,indice,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,indice,dato_unico,"escala 0-16; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
Espana,marco_institucional,Utilidad del registro publico para PYME,3.0000,indice,2026,elaboracion propia sobre normativa vigente,,2026-09-17,,,n/a,indice,media_simple,"ordinal construido, escala 0-3; CIRBE del Banco de Espana, umbral 1.000 EUR"
Espana,marco_institucional,Disponibilidad de cuentas depositadas,3.0000,indice,2026,elaboracion propia sobre normativa vigente,,2026-09-17,,,n/a,indice,media_simple,"ordinal construido, escala 0-3; Registro Mercantil, deposito obligatorio y completo"
Alemania,marco_institucional,Fortaleza de los derechos legales del acreedor,6.0000,indice,2019-05,"Banco Mundial, Doing Business 2020 (dataset historico)",https://archive.doingbusiness.org/content/dam/doingBusiness/excel/db2020/Historical-data---COMPLETE-dataset-with-scores.xlsx,2026-09-17,,,n/a,indice,dato_unico,"escala 0-12; vintage mayo-2019, ultima medicion comparable antes de descontinuarse Doing Business"
