pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Francia,financiacion_pyme,Ratio de NPL | Total,3.7022,pct_cartera,2007,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,3.6624,pct_cartera,2008,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,4.7075,pct_cartera,2009,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,4.5585,pct_cartera,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,3.9640,pct_cartera,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,4.0593,pct_cartera,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,4.2522,pct_cartera,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,4.1331,pct_cartera,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,4.0447,pct_cartera,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,3.8975,pct_cartera,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,3.6129,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,3.2666,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,2.5363,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,2.2207,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,1.9245,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Francia,financiacion_pyme,Ratio de NPL | Total,1.8205,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,14.0000,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,7.4000,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,4.7000,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,5.4000,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,6.9000,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,6.5000,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,1.5000,pct_cartera,2007,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,2.2000,pct_cartera,2008,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,3.9000,pct_cartera,2009,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,4.1000,pct_cartera,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,6.0000,pct_cartera,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,9.4000,pct_cartera,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
