pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),746,pct_anual,2010-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),675,pct_anual,2010-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),715,pct_anual,2011-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),718,pct_anual,2011-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),730,pct_anual,2012-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),724,pct_anual,2012-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),740,pct_anual,2013-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),726,pct_anual,2013-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),947,pct_anual,2014-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),1084,pct_anual,2014-S2,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
Espana,acceso_a_financiacion,Brecha de financiacion (financing gap) | PYME (<250 empleados) | n respuestas (sin ponderar),917,pct_anual,2015-S1,"BCE, encuesta SAFE (ECB Data Portal, dataset SAFE)",https://data.ecb.europa.eu/data/datasets/SAFE/SAFE.SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN,2026-09-16,,,tamano_empresa_empleados,importe,dato_unico,"TAMANO DE MUESTRA, no es una magnitud economica; serie SAFE.H.ES.SME.A.0.0.0.FG.ZZZZ.NT.FL.UN"
